Word,Number of Syllables
aba,2
abad,2
abadi,3
abah,2
abai,2
abang,2
abdi,2
abjad,2
abon,2
abu,2
acah,2
acap,2
acapkali,4
acar,2
acara,3
aci,2
acuan,3
acuh,2
acung,2
ada,2
adab,2
adai,2
adakalanya,5
adan,2
adat,2
adegan,3
adik,2
adil,2
adinda,3
aduan,3
aduh,2
aduk,2
adun,2
agak,2
agakan,3
agal,2
agama,3
agar,2
agih,2
agihan,3
agong,2
agung,2
agus,2
ahli,2
aib,1
ain,1
air,2
ajaib,3
ajak,2
ajakan,3
ajal,2
ajar,2
ajaran,3
ajeng,2
aji,2
aju,2
ajukan,3
akad,2
akal,2
akan,2
akar,2
akarat,3
akbar,2
akhbar,2
akhir,2
akhirat,3
akhlak,2
akibat,3
akidah,3
akil,2
akmal,2
akrab,2
aksi,2
aku,2
akuan,3
akur,2
ala,2
alah,2
alahan,3
alam,2
alamat,3
alami,3
alamin,3
alang,2
alas,2
alasan,3
alat,2
alatan,3
alem,2
alih,2
alik,2
alim,2
aliran,3
almari,3
alpa,2
alu,2
alun,2
alunan,3
am,1
amal,2
amalan,3
amali,3
amalkan,3
amanah,3
amanat,3
amar,2
amarah,3
amaran,3
amat,2
amaun,2
ambak,2
ambang,2
ambil,2
ambing,2
amil,2
amin,2
amit,2
ampang,2
ampu,2
ampuh,2
ampun,2
amuk,2
anai,2
anak,2
anak-beranak,5
anang,2
anasir,3
ancam,2
ancaman,3
anda,2
andai,2
andaian,3
andaikan,3
andainya,3
andak,2
andaman,3
anding,2
aneh,2
angan,2
angap,2
angga,2
anggap,2
anggapan,3
anggar,2
anggaran,3
anggerik,3
anggota,3
anggu,2
angguk,2
anggun,2
anggur,2
angin,2
angka,2
angkara,3
angkasa,3
angkat,2
angkatan,3
angkuh,2
angkut,2
angkutan,3
aniaya,4
anjakan,3
anjal,2
anjang,2
anjing,2
anju,2
anjung,2
anjur,2
anjuran,3
ansur,2
ansuran,3
antah,2
antar,2
antara,3
antarabangsa,5
anu,2
anugerah,4
anum,2
anutan,3
apa,2
api,2
apit,2
apung,2
ara,2
arah,2
arahan,3
arai,2
arak,2
aral,2
arang,2
aras,2
arau,2
arca,2
ari,2
aria,3
aris,2
arjuna,3
arnab,2
arun,2
arus,2
arwah,2
asa,2
asad,2
asah,2
asai,2
asakan,3
asal,2
asalan,3
asal-usul,4
asam,2
asap,2
asar,2
asas,2
asasi,3
asfar,2
asi,2
asing,2
askar,2
asli,2
asmara,3
asrama,3
astana,3
asuh,2
asuhan,3
asyik,2
atap,2
atas,2
atasan,3
atur,2
aturan,3
aur,1
awak,2
awal,2
awalan,3
awam,2
awan,2
awang-awang,4
awas,2
awet,2
ayah,2
ayam,2
ayang,2
ayat,2
ayu,2
ayum,2
ayun,2
azab,2
azam,2
azan,2
azimat,3
bab,1
babak,2
babi,2
babit,2
babu,2
baca,2
bacaan,3
bacang,2
bad,1
bada,2
badai,2
badak,2
badam,2
badan,2
badang,2
badar,2
badari,3
badi,2
baduk,2
badut,2
bagai,2
bagaimana,4
bagaimanapun,5
bagan,2
bagasi,3
bagi,2
baginda,3
bagus,2
bah,1
bahadur,3
bahagi,3
bahagia,4
bahagian,4
bahan,2
bahang,2
bahar,2
baharu,3
bahas,2
bahasa,3
bahau,2
bahawa,3
bahaya,3
bahkan,2
bahtera,3
bahu,2
bai,1
baiduri,3
baik,2
bait,1
bajau,2
baji,2
baju,2
bak,1
baka,2
bakal,2
bakap,2
bakar,2
bakat,2
bakau,2
bakawali,4
bakhil,2
baki,2
bakti,2
baku,2
bakul,2
bala,2
balai,2
balak,2
balan,2
balang,2
balapan,3
balas,2
balasan,3
balau,2
bali,2
balian,3
balik,2
baling,2
balu,2
ban,1
banang,2
bancuh,2
banda,2
bandar,2
bandaran,3
banding,2
bandingan,3
banduan,3
bandung,2
bang,1
bangau,2
bangga,2
bangka,2
bangkai,2
bangkangan,3
bangkit,2
bangku,2
bangsa,2
bangsawan,3
bangun,2
bangunan,3
banjaran,3
banjir,2
bantah,2
bantahan,3
bantal,2
banteras,3
banting,2
bantu,2
bantuan,3
bantut,2
banyak,2
bapa,2
bara,2
barah,2
baran,2
barang,2
barangan,3
barangkali,4
barat,2
bari,2
baris,2
barisan,3
baru,2
barua,3
basa,2
basah,2
basi,2
basikal,3
basil,2
basuh,2
bata,2
batak,2
batal,2
batang,2
batas,2
batasan,3
batik,2
batil,2
batin,2
batu,2
batuan,3
batuk,2
bau,2
baur,2
bawa,2
bawaan,3
bawah,2
bawahan,3
bayam,2
bayan,2
bayang,2
bayangan,3
bayar,2
bayaran,3
bayi,2
bayu,2
bazir,2
beban,2
bebanan,3
bebas,2
bebel,2
beberapa,4
beca,2
becak,2
becok,2
bedah,2
bedilan,3
begawan,3
begini,3
begitu,3
bek,1
beka,2
bekal,2
bekalan,3
bekas,2
bekerja,3
bekerjasama,5
beku,2
bekuan,3
bekuk,2
bela,2
belacan,3
belah,2
belaian,3
belajar,3
belaka,3
belakang,3
belalang,3
belang,2
belanga,3
belanja,3
belanjawan,4
belantan,3
belantara,4
belas,2
belasah,3
belasan,3
belatuk,3
belayar,3
belenggu,3
beli,2
belia,3
belian,3
beliau,3
belin,2
belit,2
belok,2
belom,2
belukar,3
belum,2
bemban,2
benak,2
benam,2
benang,2
benar,2
bencana,3
benci,2
benda,2
bendahara,4
bendahari,4
bendang,2
bendera,3
benderang,3
bengang,2
bengkak,2
bengkel,2
bengkok,2
benih,2
bening,2
bentang,2
benteng,2
bentes,2
bentuk,2
benua,3
beracun,3
berada,3
beradab,3
beradu,3
beragama,4
berahi,3
berahsia,4
berair,3
beraja,3
berakad,3
berakal,3
berakar,3
berakhir,3
berakhlak,3
berakit,3
beraksi,3
beralah,3
beralaskan,4
beralih,3
beralun,3
beramah,3
beramai-ramai,5
beramal,3
berambut,3
beranak,3
beraneka,4
berang,2
berangan-angan,5
beranggap,3
beranggapan,4
berangin,3
berangkai,3
berangkat,3
berani,3
beransur,3
berapa,3
berapi,3
berarak,3
beras,2
berasa,3
berasak,3
berasal,3
berasas,3
berasaskan,4
berasingan,4
berasrama,4
berat,2
beratur,3
beratus-ratus,5
beraya,3
berazam,3
berbadan,3
berbagai,3
berbahagia,5
berbahang,3
berbahasa,4
berbahaya,4
berbaik,3
berbaju,3
berbakat,3
berbaki,3
berbakti,3
berbalah,3
berbalas,3
berbalik,3
berbaloi,3
berbalut,3
berbanding,3
berbangga,3
berbangkit,3
berbangsa,3
berbanyak,3
berbaring,3
berbaris,3
berbatu-batu,5
berbau,3
berbaur,2
berbayar,3
berbekal,3
berbekalkan,4
berbelah,3
berbelanja,4
berbelas,3
